ID,date,month,weekday,hour,count,WEATHER_CODE
1005,2016-07-25,7,Monday,Evening,1,Not Applicable
1005,2016-07-31,7,Sunday,Afternoon,1,Clear
1005,2016-08-02,8,Tuesday,Evening,1,Clear
1005,2016-08-13,8,Saturday,Afternoon,1,Clear
1005,2016-08-16,8,Tuesday,Morning,1,Clear
1005,2016-08-17,8,Wednesday,Afternoon,1,Not Applicable
1005,2016-08-17,8,Wednesday,Evening,1,Clear
1005,2016-08-18,8,Thursday,Afternoon,1,Clear
1005,2016-08-21,8,Sunday,Night,1,Clear
1005,2016-08-22,8,Monday,Evening,1,Clear
1005,2016-08-24,8,Wednesday,Evening,1,Clear
1005,2016-08-25,8,Thursday,Morning,1,Clear
1005,2016-08-30,8,Tuesday,Morning,1,Clear
1005,2016-09-01,9,Thursday,Evening,1,Clear
1005,2016-09-02,9,Friday,Afternoon,1,Clear
1005,2016-09-04,9,Sunday,Evening,1,Clear
1005,2016-09-15,9,Thursday,Afternoon,1,Not Applicable
1005,2016-09-21,9,Wednesday,Night,1,Clear
1005,2016-09-24,9,Saturday,Afternoon,1,Clear
1005,2016-09-26,9,Monday,Evening,1,Clear
1005,2016-09-30,9,Friday,Afternoon,1,Cloudy
1006,2016-01-07,1,Thursday,Evening,1,Clear
1006,2016-01-26,1,Tuesday,Night,1,Clear
1006,2016-03-31,3,Thursday,Night,1,Cloudy
1006,2016-05-10,5,Tuesday,Afternoon,1,Clear
1006,2016-05-19,5,Thursday,Night,1,Clear
1006,2016-06-03,6,Friday,Afternoon,1,Clear
1006,2016-08-22,8,Monday,Morning,1,Clear
1006,2016-08-26,8,Friday,Morning,1,Clear
1006,2016-09-15,9,Thursday,Morning,1,Cloudy
1006,2016-09-23,9,Friday,Night,1,Clear
1007,2016-02-15,2,Monday,Morning,1,Snow
1007,2016-06-09,6,Thursday,Night,1,Clear
1007,2016-08-13,8,Saturday,Evening,1,Clear
1007,2016-09-07,9,Wednesday,Evening,1,Clear
101,2016-01-01,1,Friday,Evening,1,Clear
101,2016-01-01,1,Friday,Night,1,Clear
101,2016-01-02,1,Saturday,Afternoon,1,Clear
101,2016-01-04,1,Monday,Evening,2,Clear
101,2016-01-06,1,Wednesday,Night,2,Clear
101,2016-01-07,1,Thursday,Afternoon,2,Cloudy
101,2016-01-08,1,Friday,Night,1,Clear
101,2016-01-09,1,Saturday,Evening,1,Cloudy
101,2016-01-09,1,Saturday,Night,1,Clear
101,2016-01-10,1,Sunday,Afternoon,1,Clear
101,2016-01-11,1,Monday,Evening,1,Cloudy
101,2016-01-14,1,Thursday,Afternoon,1,Clear
101,2016-01-15,1,Friday,Night,1,Raining
101,2016-01-18,1,Monday,Afternoon,1,Clear
101,2016-01-20,1,Wednesday,Evening,1,Clear
101,2016-01-22,1,Friday,Afternoon,1,Cloudy
101,2016-01-22,1,Friday,Evening,2,Snow
101,2016-01-26,1,Tuesday,Evening,1,Clear
101,2016-01-27,1,Wednesday,Evening,3,Clear
101,2016-01-27,1,Wednesday,Night,1,Clear
101,2016-01-30,1,Saturday,Evening,1,Clear
101,2016-02-02,2,Tuesday,Morning,1,Other
